rubrik;kategori;kategori_detaljerad;ort;lat;long;url;bildurl;datum
Så fick de bort alla delade turer;arbetstid;schema;Sundsvall;62.3885;17.3067;https://ka.se/2024/02/27/sa-fick-de-bort-alla-delade-turer-i-sundsvall/;https://media.arto.se/app/uploads/sites/10/2022/11/shutterstock-482413714-2.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-02-27
När minutstyrningen försvann räckte tiden till både jobb och fritid;minutstyrning;minutstyrning;Uppsala;60;17.4422;https://ka.se/2024/05/06/nar-minutstyrningen-forsvann-rackte-tiden-till-bade-jobb-och-fritid-tanker-inte-pa-vad-klockan-ar/;https://media.arto.se/app/uploads/sites/10/2024/05/hemvarden-minutstyrning-10.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-05-06
Kortare ramtider för bussförare i Göteborg – hoppas locka fler till yrket;arbetstid;arbetstid;Göteborg;57.7854;11.94;https://ka.se/2024/05/03/kortare-ramtider-for-bussforare-i-goteborg-hoppas-locka-fler-till-yrket/;https://media.arto.se/app/uploads/sites/10/2024/05/buss.jpeg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-05-03
Personalen fick lägga egna scheman – då upphörde kritiken mot dygnsvilan;dygnsvila ;dygnsvila;Kristinehamn;59.3114;14.1239;https://ka.se/2024/04/09/personalen-fick-lagga-egna-scheman-da-upphorde-kritiken-mot-dygnsvilan/;https://media.arto.se/app/uploads/sites/10/2024/04/kristinehamn5-s.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=2000&h=1125;2024-04-09
De slapp chefer som bossar – och blev friskare på köpet;arbetsvillkor;arbetsvillkor;Karlskoga;59.3699;14.4224;https://ka.se/2024/08/12/de-slapp-chefer-som-bossar-och-blev-friskare-pa-kopet/;https://media.arto.se/app/uploads/sites/10/2024/07/karlskoga2s.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=2000&h=1125;2024-08-12
”Stulet” schema gör succé på äldreboende i Gällivare – Susanne orkar mer nu;arbetstid;arbetstid;Gällivare;67.13894;20.6639;https://ka.se/2024/08/06/stulet-schema-gor-succe-pa-aldreboende-i-gallivare-susanne-orkar-mer-nu/;https://media.arto.se/app/uploads/sites/10/2024/08/scheman-susanne.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-08-06
Undersköterskan Therésè  får kortare arbetstid med full lön;arbetstid;arbetstidsförkortning;Skövde;58.3928;13.8337;https://ka.se/2024/08/01/underskoterskan-therese-far-kortare-arbetstid-med-full-lon/;https://media.arto.se/app/uploads/sites/10/2024/07/therese-4.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-08-01
Tinnitus var arbetsskada – nu får barnskötaren Monica öronproppar av jobbet;arbetsvillkor;arbetsvillkor;Göteborg;57.45;11.8;https://ka.se/2024/07/17/tinnitus-var-arbetsskada-nu-far-barnskotaren-monica-oronproppar-av-jobbet/;https://media.arto.se/app/uploads/sites/10/2024/05/tinnitus-webbild.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-07-17
Kommunens nya metod – undersköterskan Michael rekryterar sommarens vikarier;arbetsvillkor;bemanning;Bollnäs;61.3513;16.3863;https://ka.se/2024/07/04/kommunens-nya-metod-underskoterskan-michael-rekryterar-sommarens-vikarier/;https://media.arto.se/app/uploads/sites/10/2024/07/sommarvikarie.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-07-04
Linda dumpade hundra skor vid kommunhuset – nu får de betalda arbetsskor;arbetskläder;arbetsskor;Vindeln;64.2006;19.7215;https://ka.se/2024/07/01/linda-dumpade-hundra-skor-vid-kommunhuset-nu-far-de-betalda-arbetsskor/;https://media.arto.se/app/uploads/sites/10/2024/06/vindeln.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-07-01
Över 80 000 undersköterskor har fått skyddad yrkestitel – Pernilla höjde lönen med yrkesbeviset;utbildning;yrkesbevis;Västerås;59.6153;16.5433;https://ka.se/2024/06/28/over-80-000-underskoterskor-har-fatt-skyddad-yrkestitel-pernilla-hojde-lonen-med-yrkesbeviset/;https://media.arto.se/app/uploads/sites/10/2024/06/pernilla.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-06-28
Här tas delade turer bort: ”Det har varit ganska tufft” ;arbetstid;schema;Hallsberg;59;15.0961;https://ka.se/2024/06/20/har-tas-delade-turer-bort-det-har-varit-ganska-tufft/;https://media.arto.se/app/uploads/sites/10/2024/06/rullator.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-06-20
Gratis arbetsskor till tusentals vårdanställda i Region Sörmland ;arbetskläder;arbetsskor;Sörmland;58.7736;17.05867;https://ka.se/2024/06/14/gratis-arbetsskor-till-tusentals-vardanstallda-i-region-sormland/;https://media.arto.se/app/uploads/sites/10/2024/06/skor.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-06-14
Succé för helgtjänster i äldreomsorgen i Laholm – utökas till LSS;arbetstid;schema;Laholm;56.5034;13.0423;https://ka.se/2024/06/13/succe-for-helgtjanster-i-aldreomsorgen-i-laholm-utokas-till-lss/;https://media.arto.se/app/uploads/sites/10/2024/06/laholm-skafrilaggas.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-06-13
Undersköterskan Maria jobbar 85 procent men får full lön;arbetstid;arbetstidsförkortning;Hudiksvall;61.729;17.1036;https://ka.se/2024/09/03/underskoterskan-maria-jobbar-85-procent-men-far-full-lon-vi-orkar-till-pensionen/;https://media.arto.se/app/uploads/sites/10/2024/09/hudik-1.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-09-03
Titti orkar jobba heltid – tack vare kortad arbetstid;arbetstid;arbetstidsförkortning;Orust;58.1736;11.629;https://ka.se/2024/09/09/fotskadade-underskoterskan-titti-klarar-heltid-tack-vare-kortare-arbetstid/;https://media.arto.se/app/uploads/sites/10/2024/09/e4a1178.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-09-09
Kortaste arbetstiden i landet finns i Karlsborg – Ann-Sofi jobbar 30 timmar i veckan;arbetstid;arbetstidsförkortning;Karlsborg;58.465;14.5077;https://ka.se/2024/09/10/ann-sofie-bytte-ob-ersattning-mot-kortare-arbetstid-aterhamtningen-ar-viktigare-an-pengarna/;https://media.arto.se/app/uploads/sites/10/2024/09/ann-sofie-10.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-09-10
